,0.01,0.02,0.04,0.08,0.1,0.2,0.4,0.8,1,2,4,8,16
10,1,1,1,1,1,1,1,0.877236509,0.877220346,0.766557055,0.789415124,0.692302157,0.573823255
20,1,1,1,1,1,1,1,0.753914,0.742033,0.749918,0.756964,0.63189,0.522109
40,1,1,1,1,1,1,1,0.998052718,0.997846822,0.472254253,0.631638382,0.58906662,0.531562963
80,1,1,1,0.261466206,0.261466206,0.282095262,0.282095262,0.634027975,0.634027975,0.633692585,0.495830751,0.620251137,0.243415761
160,1,1,1,1,1,0.123139235,0.123139235,0.567648764,0.635394296,0.753580154,0.271621931,0.791326603,0.363042817
,,,,,,,,,,,,,
edges randomized for k=10,12,24,49,99,124,249,499,999,1249,2498,4996,9992,19984
edges randomized for k=20,25,50,100,200,250,500,1000,2001,2501,5003,10007,20015,40032
edges randomized for k=40,50,100,200,400,500,1000,2000,4000,5000,10000,20000,40000,79999
edges randomized for k=80,100,200,400,800,1000,2000,4001,8002,10003,20007,40014,80029,160059
edges randomized for k=160,200,400,800,1600,2000,4001,8002,16004,20005,40011,80023,160046,320092
,,,,,,,,,,,,,
accumulated edges randomized for k=10,12,36,85,184,308,557,1056,2055,3304,5802,10798,20790,40774
accumulated edges randomized for k=20,25,75,175,375,625,1125,2125,4126,6627,11630,21637,41652,81684
accumulated edges randomized for k=40,50,150,350,750,1250,2250,4250,8250,13250,23250,43250,83250,163249
accumulated edges randomized for k=80,100,300,700,1500,2500,4500,8501,16503,26506,46513,86527,166556,326615
accumulated edges randomized for k=160,200,600,1400,3000,5000,9001,17003,33007,53012,93023,173046,333092,653184
,,,,,,,,,,,,,
,1.079181246,1.556302501,1.929418926,2.264817823,2.488550717,2.745855195,3.023663918,3.312811826,3.519040039,3.763577724,4.033343323,4.317854489,4.610383319
,1.397940009,1.875061263,2.243038049,2.574031268,2.795880017,3.051152522,3.327358934,3.615529224,3.821316971,4.065579715,4.335197045,4.61963586,4.912136997
,1.698970004,2,2.301029996,2.602059991,2.698970004,3,3.301029996,3.602059991,3.698970004,4,4.301029996,4.602059991,4.903084558
,2,2.477121255,2.84509804,3.176091259,3.397940009,3.653212514,3.929470016,4.2175629,4.423344194,4.667574352,4.937151646,5.221560282,5.514036126
,2.301029996,2.77815125,3.146128036,3.477121255,3.698970004,3.954290762,4.230525555,4.518606053,4.724374189,4.968590341,5.238161565,5.522564202,5.815035538
