edges randomized for k=40,0.01,0.02,0.04,0.08,0.1,0.2,0.4,0.8,1,2,4,8,16
10,0.913494463,0.913494463,0.913494463,0.913494463,0.913494463,0.913494463,0.992305094,0.992305094,0.959039904,0.918810565,0.913682923,0.583869244,0.68057744
20,1,1,1,1,0.898131394,0.88208399,0.88208399,0.897580255,0.897580255,0.841658573,0.567962824,0.636270031,0.577136941
40,1,1,1,1,1,0.949993588,0.19287848,0.19287848,0.232900342,0.214318867,,,
80,1,1,1,0.778180892,0.778180892,0.778180892,0.999536154,0.252203558,0.252203558,0.305542105,0.463747264,0.413186226,0.168921977
160,,,,,,,,,,,,,
edges randomized for k=10,17,17,34,67,34,168,337,673,337,1683,3367,6734,13467
edges randomized for k=20,35,35,70,139,70,348,697,1393,697,3483,6966,13932,27865
edges randomized for k=40,86,86,173,346,173,865,1730,3460,1730,8649,,,
edges randomized for k=80,143,143,286,573,286,1432,2863,5727,2863,14317,28633,57267,114533
,,,,,,,,,,,,,
,1.230448921,1.230448921,1.531478917,1.826074803,1.531478917,2.225309282,2.527629901,2.828015064,2.527629901,3.226084116,3.527243116,3.828273112,4.12927086
,1.544068044,1.544068044,1.84509804,2.1430148,1.84509804,2.541579244,2.843232778,3.143951116,2.843232778,3.541953474,3.84298347,4.144013466,4.445059047
,1.934498451,1.934498451,2.238046103,2.539076099,2.238046103,2.937016107,3.238046103,3.539076099,3.238046103,3.936965897,,,
,2.155336037,2.155336037,2.456366033,2.758154622,2.456366033,3.155943018,3.456821348,3.757927183,3.456821348,4.155852025,4.456866853,4.757904433,5.058930636
